eps,PEC_Gyroid_Re500,PEC_Diamond_Re500,PEC_Primitive_Re500,PEC_Neovius_Re500,PEC_FRD_Re500,PEC_FKS_Re500,PEC_Gyroid_Re2000,PEC_Diamond_Re2000,PEC_Primitive_Re2000,PEC_Neovius_Re2000,PEC_FRD_Re2000,PEC_FKS_Re2000,PEC_Gyroid_Re5000,PEC_Diamond_Re5000,PEC_Primitive_Re5000,PEC_Neovius_Re5000,PEC_FRD_Re5000,PEC_FKS_Re5000
6.034483e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
6.137931e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
6.241379e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
6.344828e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
6.448276e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
6.551724e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
6.655172e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
6.758621e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
6.862069e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
6.965517e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
7.068966e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
7.172414e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
7.275862e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
7.379310e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
7.482759e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
7.586207e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
7.689655e-01,2.145150e+00,1.628043e+00,8.529545e-01,9.654908e-01,1.363997e+00,1.774053e+00,3.912648e+00,2.668087e+00,1.705909e+00,1.843782e+00,2.320616e+00,2.768905e+00,1.695878e+00,1.077464e+00,7.858314e-01,8.237934e-01,9.606172e-01,1.082688e+00
