Re,j_Gyroid,f_Gyroid,Nu_Gyroid,j_Diamond,f_Diamond,Nu_Diamond,j_Primitive,f_Primitive,Nu_Primitive,j_Neovius,f_Neovius,Nu_Neovius,j_FRD,f_FRD,Nu_FRD,j_FKS,f_FKS,Nu_FKS,j_SmoothPlateFin,f_SmoothPlateFin,Nu_SmoothPlateFin,PEC_Gyroid,PEC_Diamond,PEC_Primitive,PEC_Neovius,PEC_FRD,PEC_FKS
1.314147e+03,3.739238e-02,5.945812e-01,4.363081e+01,2.703367e-02,6.429077e-01,3.154388e+01,1.645160e-02,6.643531e-01,1.919634e+01,1.723326e-02,5.799316e-01,2.010839e+01,2.406939e-02,7.134975e-01,2.808505e+01,3.086067e-02,8.185883e-01,3.600936e+01,3.136686e-03,1.217519e-02,3.660000e+00,3.261372e+00,2.297258e+00,1.382811e+00,1.515640e+00,1.975553e+00,2.419568e+00
1.420831e+03,3.652754e-02,5.853714e-01,4.608174e+01,2.625386e-02,6.332459e-01,3.312085e+01,1.613369e-02,6.515150e-01,2.035364e+01,1.683441e-02,5.665096e-01,2.123764e+01,2.342074e-02,7.024457e-01,2.954671e+01,2.993540e-02,8.101091e-01,3.776534e+01,2.901167e-03,1.126102e-02,3.660000e+00,3.373622e+00,2.362049e+00,1.437845e+00,1.571865e+00,2.035556e+00,2.480982e+00
1.536175e+03,3.568270e-02,5.763043e-01,4.867034e+01,2.549654e-02,6.237292e-01,3.477667e+01,1.582192e-02,6.389249e-01,2.158071e+01,1.644479e-02,5.533983e-01,2.243030e+01,2.278958e-02,6.915652e-01,3.108444e+01,2.903787e-02,8.017177e-01,3.960695e+01,2.683332e-03,1.041548e-02,3.660000e+00,3.489735e+00,2.428667e+00,1.495069e+00,1.630176e+00,2.097381e+00,2.543956e+00
1.660883e+03,3.485740e-02,5.673776e-01,5.140437e+01,2.476107e-02,6.143556e-01,3.651526e+01,1.551617e-02,6.265781e-01,2.288177e+01,1.606419e-02,5.405904e-01,2.368993e+01,2.217542e-02,6.808532e-01,3.270219e+01,2.816724e-02,7.934132e-01,4.153836e+01,2.481853e-03,9.633431e-03,3.660000e+00,3.609845e+00,2.497164e+00,1.554570e+00,1.690650e+00,2.161084e+00,2.608528e+00
1.795714e+03,3.405119e-02,5.585892e-01,5.429197e+01,2.404681e-02,6.051229e-01,3.834077e+01,1.521633e-02,6.144700e-01,2.426125e+01,1.569240e-02,5.280789e-01,2.502031e+01,2.157782e-02,6.703071e-01,3.440415e+01,2.732272e-02,7.851948e-01,4.356396e+01,2.295503e-03,8.910102e-03,3.660000e+00,3.734088e+00,2.567593e+00,1.616440e+00,1.753367e+00,2.226722e+00,2.674738e+00
1.941492e+03,3.326363e-02,5.499369e-01,5.734178e+01,2.335316e-02,5.960289e-01,4.025754e+01,1.492229e-02,6.025958e-01,2.572391e+01,1.532921e-02,5.158570e-01,2.642539e+01,2.099631e-02,6.599243e-01,3.619468e+01,2.650353e-02,7.770614e-01,4.568833e+01,2.123144e-03,8.241085e-03,3.660000e+00,3.862608e+00,2.640008e+00,1.680771e+00,1.818411e+00,2.294354e+00,2.742630e+00
2.099104e+03,3.249428e-02,5.414187e-01,6.056292e+01,2.267952e-02,5.870715e-01,4.227014e+01,1.463392e-02,5.909511e-01,2.727475e+01,1.497443e-02,5.039180e-01,2.790939e+01,2.043048e-02,6.497024e-01,3.807839e+01,2.570889e-02,7.690124e-01,4.791630e+01,1.963727e-03,7.622301e-03,3.660000e+00,3.995551e+00,2.714465e+00,1.747664e+00,1.885868e+00,2.364039e+00,2.812244e+00
2.269511e+03,3.174272e-02,5.330324e-01,6.396500e+01,2.202531e-02,5.782488e-01,4.438336e+01,1.435113e-02,5.795314e-01,2.891908e+01,1.462786e-02,4.922552e-01,2.947672e+01,1.987990e-02,6.396388e-01,4.006014e+01,2.493808e-02,7.610467e-01,5.025291e+01,1.816280e-03,7.049978e-03,3.660000e+00,4.133069e+00,2.791023e+00,1.817218e+00,1.955827e+00,2.435842e+00,2.883626e+00
2.453751e+03,3.100855e-02,5.247759e-01,6.755819e+01,2.138996e-02,5.695587e-01,4.660222e+01,1.407381e-02,5.683323e-01,3.066254e+01,1.428931e-02,4.808624e-01,3.113206e+01,1.934416e-02,6.297311e-01,4.214503e+01,2.419038e-02,7.531635e-01,5.270347e+01,4.714492e-03,1.220292e-02,1.027144e+01,1.877341e+00,1.260135e+00,8.297181e-01,8.906850e-01,1.102092e+00,1.298372e+00
2.652948e+03,3.029136e-02,5.166474e-01,7.135322e+01,2.077295e-02,5.609992e-01,4.893201e+01,1.380184e-02,5.573497e-01,3.251112e+01,1.395860e-02,4.697333e-01,3.288037e+01,1.882285e-02,6.199769e-01,4.433843e+01,2.346509e-02,7.453620e-01,5.527352e+01,4.641467e-03,1.187711e-02,1.093327e+01,1.855677e+00,1.238110e+00,8.244091e-01,8.826864e-01,1.085114e+00,1.272179e+00
2.868317e+03,2.959075e-02,5.086448e-01,7.536144e+01,2.017374e-02,5.525683e-01,5.137827e+01,1.353513e-02,5.465793e-01,3.447114e+01,1.363554e-02,4.588618e-01,3.472686e+01,1.831560e-02,6.103737e-01,4.664598e+01,2.276156e-02,7.376412e-01,5.796891e+01,4.569573e-03,1.156417e-02,1.163774e+01,1.834483e+00,1.216616e+00,8.192328e-01,8.748649e-01,1.068526e+00,1.246664e+00
3.101169e+03,2.890635e-02,5.007661e-01,7.959481e+01,1.959181e-02,5.442641e-01,5.394683e+01,1.327358e-02,5.360171e-01,3.654933e+01,1.331996e-02,4.482418e-01,3.667705e+01,1.782201e-02,6.009193e-01,4.907362e+01,2.207911e-02,7.300005e-01,6.079573e+01,4.498792e-03,1.126344e-02,1.238761e+01,1.813744e+00,1.195636e+00,8.141844e-01,8.672144e-01,1.052315e+00,1.221804e+00
3.352924e+03,2.823778e-02,4.930095e-01,8.406599e+01,1.902666e-02,5.360847e-01,5.664380e+01,1.301707e-02,5.256589e-01,3.875280e+01,1.301168e-02,4.378677e-01,3.873675e+01,1.734172e-02,5.916114e-01,5.162760e+01,2.141713e-02,7.224389e-01,6.376040e+01,4.429108e-03,1.097429e-02,1.318579e+01,1.793445e+00,1.175152e+00,8.092595e-01,8.597291e-01,1.036468e+00,1.197577e+00
3.625117e+03,2.758468e-02,4.853730e-01,8.878834e+01,1.847782e-02,5.280282e-01,5.947559e+01,1.276553e-02,5.155010e-01,4.108912e+01,1.271054e-02,4.277336e-01,4.091212e+01,1.687438e-02,5.824476e-01,5.431451e+01,2.077500e-02,7.149556e-01,6.686964e+01,4.360503e-03,1.069613e-02,1.403540e+01,1.773570e+00,1.155147e+00,8.044540e-01,8.524031e-01,1.020973e+00,1.173961e+00
